"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","TG","OV15","OV25","OV35","TY","TR","homewinmargin","awaywinmargin","GSCS","GSH"
"553","E2",2021-08-28,"Charlton","Crewe",2,0,"H",2,0,"H",1.83,3.72,4.46,"2-0","2-0",19,7,13,5,1,2,0,0,2,"Y","N","N",3,0,-2,-1,"-2,-1",-1
"557","E2",2021-08-28,"Oxford","Lincoln",3,1,"H",2,0,"H",2.14,3.42,3.58,"2-0","3-1",12,8,12,4,0,1,0,0,4,"Y","Y","Y",1,0,-1,-1,"-1,-1",0
"584","E2",2021-09-18,"Doncaster","Morecambe",1,0,"H",0,0,"D",2.6,3.32,2.79,"0-0","1-0",12,5,11,3,0,0,0,0,1,"N","N","N",0,0,-1,-1,"-1,-1",0
"592","E2",2021-09-21,"Gillingham","Charlton",1,1,"D",0,1,"A",3.22,3.36,2.35,"0-1","1-1",11,1,18,6,2,0,0,0,2,"Y","N","N",2,0,-3,-1,"-3,-1",-2
"596","E2",2021-09-25,"Charlton","Portsmouth",2,2,"D",0,1,"A",2.62,3.3,2.79,"0-1","2-2",12,7,12,6,2,2,0,0,4,"Y","Y","Y",4,0,-1,-1,"-1,-1",0
"619","E2",2021-10-02,"AFC Wimbledon","Burton",1,1,"D",0,0,"D",2.27,3.48,3.17,"0-0","1-1",14,2,8,2,0,2,0,0,2,"Y","N","N",2,0,-1,-1,"-1,-1",0
"624","E2",2021-10-02,"Fleetwood Town","Charlton",1,2,"A",0,1,"A",2.46,3.35,2.96,"0-1","1-2",15,4,13,5,2,2,0,0,3,"Y","Y","N",4,0,-1,-3,"-1,-3",2
"627","E2",2021-10-02,"Portsmouth","Sunderland",4,0,"H",3,0,"H",2.93,3.44,2.43,"3-0","4-0",14,7,10,2,2,1,0,0,4,"Y","Y","Y",3,0,-1,-4,"-1,-4",3
"630","E2",2021-10-09,"Ipswich","Shrewsbury",2,1,"H",1,1,"D",1.81,3.67,4.46,"1-1","2-1",8,3,5,2,3,1,0,0,3,"Y","Y","N",4,0,-1,-1,"-1,-1",0
"645","E2",2021-10-16,"Shrewsbury","Milton Keynes Dons",1,0,"H",0,0,"D",3.64,3.46,2.08,"0-0","1-0",4,3,13,2,2,1,0,0,1,"N","N","N",3,0,-1,-1,"-1,-1",0
"647","E2",2021-10-19,"Charlton","Accrington",2,3,"A",1,1,"D",2.28,3.26,3.47,"1-1","2-3",16,6,16,9,4,3,0,0,5,"Y","Y","Y",7,0,-1,-1,"-1,-1",0
"650","E2",2021-10-19,"Fleetwood Town","Burton",0,1,"A",0,1,"A",2.45,3.3,3.11,"0-1","0-1",11,2,14,6,0,2,0,0,1,"N","N","N",2,0,-1,-1,"-1,-1",0
"651","E2",2021-10-19,"Gillingham","Doncaster",1,0,"H",0,0,"D",2.24,3.22,3.63,"0-0","1-0",9,2,13,3,2,2,0,0,1,"N","N","N",4,0,-2,-1,"-2,-1",-1
"653","E2",2021-10-19,"Oxford","Shrewsbury",2,0,"H",0,0,"D",1.77,3.72,4.96,"0-0","2-0",13,3,10,0,0,0,0,0,2,"Y","N","N",0,0,-2,-1,"-2,-1",-1
"657","E2",2021-10-19,"Wigan","Milton Keynes Dons",1,2,"A",1,2,"A",2.13,3.39,3.72,"1-2","1-2",12,3,12,5,1,3,0,0,3,"Y","Y","N",4,0,-1,-1,"-1,-1",0
"660","E2",2021-10-23,"Bolton","Gillingham",2,2,"D",0,2,"A",1.8,3.62,4.65,"0-2","2-2",22,9,15,7,1,3,0,0,4,"Y","Y","Y",4,0,-4,-1,"-4,-1",-3
"668","E2",2021-10-23,"Sunderland","Charlton",0,1,"A",0,0,"D",1.63,3.98,5.78,"0-0","0-1",18,5,12,3,2,2,0,0,1,"N","N","N",4,0,-1,-1,"-1,-1",0
"675","E2",2021-10-30,"Crewe","Milton Keynes Dons",1,4,"A",0,1,"A",3.98,3.7,1.9,"0-1","1-4",5,1,10,4,1,1,0,0,5,"Y","Y","Y",2,0,-1,-3,"-1,-3",2
"685","E2",2021-11-02,"Crewe","Doncaster",1,1,"D",1,1,"D",2.28,3.52,3.22,"1-1","1-1",4,2,13,4,0,5,0,0,2,"Y","N","N",5,0,-3,-4,"-3,-4",1
"703","E2",2021-11-20,"Fleetwood Town","Morecambe",1,2,"A",0,1,"A",2.07,3.58,3.54,"0-1","1-2",17,4,20,7,0,2,1,0,3,"Y","Y","N",2,1,-1,-2,"-1,-2",1
"710","E2",2021-11-23,"Burton","Accrington",4,0,"H",2,0,"H",2.16,3.5,3.51,"2-0","4-0",18,7,8,2,0,2,0,0,4,"Y","Y","Y",2,0,-1,-1,"-1,-1",0
"720","E2",2021-11-23,"Bolton","Doncaster",3,0,"H",2,0,"H",1.68,3.92,5.33,"2-0","3-0",20,5,6,1,1,0,0,1,3,"Y","Y","N",1,1,-1,-3,"-1,-3",2
"723","E2",2021-11-27,"Burton","Doncaster",2,0,"H",0,0,"D",1.74,3.91,4.57,"0-0","2-0",18,6,2,0,1,3,0,0,2,"Y","N","N",4,0,-1,-3,"-1,-3",2
"732","E2",2021-11-28,"Ipswich","Crewe",2,1,"H",2,0,"H",1.38,5.1,7.63,"2-0","2-1",13,4,11,3,2,1,0,0,3,"Y","Y","N",3,0,-2,-1,"-2,-1",-1
"738","E2",2021-12-07,"Crewe","Lincoln",2,0,"H",0,0,"D",3.13,3.56,2.31,"0-0","2-0",16,6,11,2,1,1,0,1,2,"Y","N","N",2,1,-1,-1,"-1,-1",0
"748","E2",2021-12-11,"Charlton","Cambridge",2,0,"H",1,0,"H",1.68,4.02,4.86,"1-0","2-0",12,4,12,4,5,4,0,0,2,"Y","N","N",9,0,-1,-1,"-1,-1",0
