"","HT","AT","matchid","HomeTeam","AwayTeam","CS","TG"
"271","Osasuna","Espanol","Osasuna-Espanol","Osasuna","Espanol","0-0",0
"272","Sociedad B","Leganes","Sociedad B-Leganes","Sociedad B","Leganes","1-0",1
"273","Girona","Amorebieta","Girona-Amorebieta","Girona","Amorebieta","2-0",2
"274","Ponferradina","Alcorcon","Ponferradina-Alcorcon","Ponferradina","Alcorcon","1-0",1
"275","Karagumruk","Gaziantep","Karagumruk-Gaziantep","Karagumruk","Gaziantep","3-2",5
"276","Altay","Kayserispor","Altay-Kayserispor","Altay","Kayserispor","3-0",3
"277","Hatayspor","Kasimpasa","Hatayspor-Kasimpasa","Hatayspor","Kasimpasa","1-1",2
"278","Beerschot VA","Standard","Beerschot VA-Standard","Beerschot VA","Standard","0-1",1
"279","Gent","Mechelen","Gent-Mechelen","Gent","Mechelen","2-0",2
"280","Cercle Brugge","Anderlecht","Cercle Brugge-Anderlecht","Cercle Brugge","Anderlecht","1-2",3
"281","Waregem","Club Brugge","Waregem-Club Brugge","Waregem","Club Brugge","0-4",4
"282","Mainz","RB Leipzig","Mainz-RB Leipzig","Mainz","RB Leipzig","1-0",1
"283","FC Koln","Hertha","FC Koln-Hertha","FC Koln","Hertha","3-1",4
"284","Darmstadt","Ingolstadt","Darmstadt-Ingolstadt","Darmstadt","Ingolstadt","6-1",7
"285","Heidenheim","Hansa Rostock","Heidenheim-Hansa Rostock","Heidenheim","Hansa Rostock","1-1",2
"286","Werder Bremen","Paderborn","Werder Bremen-Paderborn","Werder Bremen","Paderborn","1-4",5
"287","Newcastle","West Ham","Newcastle-West Ham","Newcastle","West Ham","2-4",6
"288","Tottenham","Man City","Tottenham-Man City","Tottenham","Man City","1-0",1
"289","Angers","Lyon","Angers-Lyon","Angers","Lyon","3-0",3
"290","Brest","Rennes","Brest-Rennes","Brest","Rennes","1-1",2
"291","Clermont","Troyes","Clermont-Troyes","Clermont","Troyes","2-0",2
"292","Nantes","Metz","Nantes-Metz","Nantes","Metz","2-0",2
"293","Reims","Montpellier","Reims-Montpellier","Reims","Montpellier","3-3",6
"294","Lens","St Etienne","Lens-St Etienne","Lens","St Etienne","2-2",4
"295","Marseille","Bordeaux","Marseille-Bordeaux","Marseille","Bordeaux","2-2",4
"296","Cambuur","Groningen","Cambuur-Groningen","Cambuur","Groningen","1-2",3
