"","b1_division","b1_avg_AG","b1_teams","b1_away_as","b1_away_ds"
"306","SC0","1.1528","Livingston","1.0602","1.2747"
"307","SC0","1.1528","Motherwell","0.8193","0.967"
"308","SC0","1.1528","Rangers","1.5421","0.3956"
"309","SC0","1.1528","Ross County","0.6747","1.3187"
"310","SC0","1.1528","St Johnstone","1.3012","1.1868"
"311","SC0","1.1528","St Mirren","0.9156","0.8352"
"312","SC1","1.2667","Alloa","0.7287","1.5403"
"313","SC1","1.2667","Arbroath","0.7287","1.1428"
"314","SC1","1.2667","Ayr","1.1278","1.1535"
"315","SC1","1.2667","Dundee","1.3533","1.0612"
"316","SC1","1.2667","Dunfermline","0.8502","1.0435"
"317","SC1","1.2667","Hearts","1.1538","0.3975"
"318","SC1","1.2667","Inverness C","1.1278","0.8305"
"319","SC1","1.2667","Morton","0.4858","0.7453"
"320","SC1","1.2667","Queen of Sth","1.1842","1.2458"
"321","SC1","1.2667","Raith Rvs","1.1842","0.8305"
"322","SC2","1.1182","Airdrie Utd","1.1382","0.8387"
"323","SC2","1.1182","Clyde","0.9756","1.3548"
"324","SC2","1.1182","Cove Rangers","0.813","0.5161"
"325","SC2","1.1182","Dumbarton","0.4878","0.8387"
"326","SC2","1.1182","East Fife","0.9756","1.4193"
"327","SC2","1.1182","Falkirk","1.2195","1.0968"
"328","SC2","1.1182","Forfar","0.6504","1.0323"
"329","SC2","1.1182","Montrose","1.1382","1.2258"
"330","SC2","1.1182","Partick","1.4634","0.7097"
"331","SC2","1.1182","Peterhead","1.1382","0.9677"
"332","SC3","1.3545","Albion Rvs","1.141","1.5278"
"333","SC3","1.3545","Annan Athletic","0.6712","0.625"
"334","SC3","1.3545","Brechin","0.4698","1.3194"
"335","SC3","1.3545","Cowdenbeath","0.4027","0.9028"
"336","SC3","1.3545","Edinburgh City","1.4766","0.9028"
"337","SC3","1.3545","Elgin","1.0739","0.9028"
"338","SC3","1.3545","Queens Park","1.4766","0.5556"
"339","SC3","1.3545","Stenhousemuir","0.6712","1.5278"
"340","SC3","1.3545","Stirling","1.5437","0.9028"
"341","SC3","1.3545","Stranraer","1.0739","0.8333"
"342","SP1","1.1318","Alaves","0.6757","1.3484"
"343","SP1","1.1318","Ath Bilbao","0.8835","0.8699"
"344","SP1","1.1318","Ath Madrid","1.1781","0.534"
"345","SP1","1.1318","Barcelona","1.923","0.6524"
"346","SP1","1.1318","Betis","0.9875","1.1309"
"347","SP1","1.1318","Cadiz","0.7796","1.0004"
"348","SP1","1.1318","Celta","1.129","1.0681"
"349","SP1","1.1318","Eibar","0.7854","1.1091"
"350","SP1","1.1318","Elche","0.6381","1.2735"
"351","SP1","1.1318","Getafe","0.6757","1.2614"
"352","SP1","1.1318","Granada","0.9875","1.4789"
"353","SP1","1.1318","Huesca","0.8345","1.2735"
"354","SP1","1.1318","Levante","0.8835","1.027"
"355","SP1","1.1318","Osasuna","0.7363","0.9448"
"356","SP1","1.1318","Real Madrid","1.5072","0.6089"
"357","SP1","1.1318","Sevilla","1.2762","0.7394"
"358","SP1","1.1318","Sociedad","1.1954","0.6524"
"359","SP1","1.1318","Valencia","0.8316","1.2614"
"360","SP1","1.1318","Valladolid","0.6872","0.9448"
"361","SP1","1.1318","Villarreal","1.4553","0.8264"
"362","SP2","0.8534","Albacete","0.6784","1.1689"
"363","SP2","0.8534","Alcorcon","0.7401","0.7193"
"364","SP2","0.8534","Almeria","1.4185","0.8542"
"365","SP2","0.8534","Cartagena","0.8634","1.2138"
"366","SP2","0.8534","Castellon","0.8634","1.2588"
"367","SP2","0.8534","Espanol","1.6035","0.6294"
"368","SP2","0.8534","Fuenlabrada","1.3568","1.079"
"369","SP2","0.8534","Girona","1.4185","1.034"
"370","SP2","0.8534","Las Palmas","0.6784","1.3038"
"371","SP2","0.8534","Leganes","1.1067","0.9016"
"372","SP2","0.8534","Logrones","0.7401","1.079"
"373","SP2","0.8534","Lugo","1.0416","1.6609"
"374","SP2","0.8534","Malaga","1.0484","1.034"
"375","SP2","0.8534","Mallorca","1.1101","0.6294"
"376","SP2","0.8534","Mirandes","1.0484","0.8991"
"377","SP2","0.8534","Oviedo","0.9868","0.8092"
"378","SP2","0.8534","Ponferradina","0.9868","1.079"
"379","SP2","0.8534","Sabadell","1.1101","1.1239"
"380","SP2","0.8534","Sp Gijon","0.9251","0.6744"
"381","SP2","0.8534","Tenerife","0.5551","0.9441"
"382","SP2","0.8534","Vallecano","1.0484","0.8542"
"383","SP2","0.8534","Zaragoza","0.6784","1.079"
"384","T1","1.175","Alanyaspor","0.6719","0.8435"
"385","T1","1.175","Ankaragucu","0.8511","1.3004"
"386","T1","1.175","Antalyaspor","0.7234","0.9015"
"387","T1","1.175","Besiktas","1.7021","1.0192"
"388","T1","1.175","Buyuksehyr","0.6719","0.949"
"389","T1","1.175","Denizlispor","0.8959","1.5816"
"390","T1","1.175","Erzurum BB","1.0302","1.2653"
"391","T1","1.175","Fenerbahce","1.6125","0.5272"
"392","T1","1.175","Galatasaray","1.3886","0.6326"
"393","T1","1.175","Gaziantep","0.9406","0.949"
"394","T1","1.175","Genclerbirligi","0.7167","1.3707"
"395","T1","1.175","Goztep","0.9406","0.949"
"396","T1","1.175","Hatayspor","1.1646","1.0192"
"397","T1","1.175","Karagumruk","0.8959","1.0895"
"398","T1","1.175","Kasimpasa","0.8959","1.0544"
"399","T1","1.175","Kayserispor","0.6719","0.949"
"400","T1","1.175","Konyaspor","0.9854","1.0192"
"401","T1","1.175","Rizespor","0.9406","1.2301"
"402","T1","1.175","Sivasspor","1.4782","0.949"
"403","T1","1.175","Trabzonspor","0.8511","0.4218"
"404","T1","1.175","Yeni Malatyaspor","0.9854","0.9841"
