"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"160","160","1","stadium","3/4/2022","Lokomotiv Moscow","Khimki"
"161","161","1","stadium","3/11/2022","Ufa","Nizhny Novgorod"
"162","162","1","stadium","3/11/2022","Ural","Akhmat Grozny"
"163","163","1","stadium","3/11/2022","Rubin Kazan","FK Rostov"
"164","164","1","stadium","3/11/2022","Arsenal Tula","Dynamo Moscow"
"165","165","1","stadium","3/11/2022","Khimki","Sochi"
"166","166","1","stadium","3/11/2022","FK Krylya Sovetov Samara","Zenit"
"167","167","1","stadium","3/11/2022","Spartak Moscow","Krasnodar"
"168","168","1","stadium","3/11/2022","Lokomotiv Moscow","CSKA Moscow"
"169","169","1","stadium","3/18/2022","Dynamo Moscow","FK Rostov"
"170","170","1","stadium","3/18/2022","Nizhny Novgorod","Spartak Moscow"
"171","171","1","stadium","3/18/2022","Akhmat Grozny","Lokomotiv Moscow"
"172","172","1","stadium","3/18/2022","Sochi","FK Krylya Sovetov Samara"
"173","173","1","stadium","3/18/2022","Zenit","Arsenal Tula"
"174","174","1","stadium","3/18/2022","Ural","Khimki"
"175","175","1","stadium","3/18/2022","Ufa","Krasnodar"
"176","176","1","stadium","3/18/2022","CSKA Moscow","Rubin Kazan"
"177","177","1","stadium","4/1/2022","Rubin Kazan","Khimki"
"178","178","1","stadium","4/1/2022","Sochi","Zenit"
"179","179","1","stadium","4/1/2022","FK Krylya Sovetov Samara","Ufa"
"180","180","1","stadium","4/1/2022","Arsenal Tula","Akhmat Grozny"
"181","181","1","stadium","4/1/2022","FK Rostov","Nizhny Novgorod"
"182","182","1","stadium","4/1/2022","Krasnodar","Dynamo Moscow"
"183","183","1","stadium","4/1/2022","CSKA Moscow","Ural"
"184","184","1","stadium","4/1/2022","Lokomotiv Moscow","Spartak Moscow"
"185","185","1","stadium","4/8/2022","Ural","FK Krylya Sovetov Samara"
"186","186","1","stadium","4/8/2022","Spartak Moscow","Arsenal Tula"
"187","187","1","stadium","4/8/2022","FK Rostov","Lokomotiv Moscow"
"188","188","1","stadium","4/8/2022","Rubin Kazan","Krasnodar"
"189","189","1","stadium","4/8/2022","Ufa","Sochi"
"190","190","1","stadium","4/8/2022","Akhmat Grozny","Zenit"
"191","191","1","stadium","4/8/2022","Khimki","CSKA Moscow"
"192","192","1","stadium","4/8/2022","Nizhny Novgorod","Dynamo Moscow"
"193","193","1","stadium","4/15/2022","Arsenal Tula","FK Rostov"
"194","194","1","stadium","4/15/2022","Ufa","CSKA Moscow"
"195","195","1","stadium","4/15/2022","Zenit","Ural"
